收款商户号,支付记录编号,出款产品类型,出款金额,收入金额,银行接口编号,银行成功日期,内扣银行手续费,外扣银行手续费,记录生成日期
20121114018,20130326022474,2,20,2,800002,2013/3/26 0:00:00,,,2013/3/27 0:00:00
20121114018,20130326022475,2,10,2,800002,2013/3/26 0:00:00,,,2013/3/27 0:00:00
20121114018,20130326022477,2,20000,2,800002,2013/3/26 0:00:00,,,2013/3/27 0:00:00
20121114018,20130326022433,2,500,2,800001,2013/3/26 0:00:00,,,2013/3/27 0:00:00
20121114018,20130326022421,2,1000,2,800001,2013/3/26 0:00:00,,,2013/3/27 0:00:00
20121114018,20130326022405,2,10000,2,800002,2013/3/26 0:00:00,,,2013/3/27 0:00:00
20121114018,20130326022476,2,1000,2,800002,2013/3/26 0:00:00,,,2013/3/27 0:00:00
20121114018,20130326022480,2,1300,2,800002,2013/3/26 0:00:00,,,2013/3/27 0:00:00
20121114018,20130326022479,2,1000,2,800002,2013/3/26 0:00:00,,,2013/3/27 0:00:00
20121114018,20130326022478,2,500,2,800002,2013/3/26 0:00:00,,,2013/3/27 0:00:00
20121114018,20130326022434,2,100,2,800001,2013/3/26 0:00:00,,,2013/3/27 0:00:00
20121114018,20130326022410,2,1000,2,800002,2013/3/26 0:00:00,,,2013/3/27 0:00:00
20121114018,20130326022411,2,1700,2,800002,2013/3/26 0:00:00,,,2013/3/27 0:00:00
